DATA;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;num_semaforo;sentido_via;tipo;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2018-12-19;19:20:00;COM VÍTIMA;FINALIZADA;IPUTINGA;AV CAXANGA;3489;RUA GENERAL CANDIDO BORGES CASTELO BRANCO;ENFRENTE AO PERNAMBUCO DA SORTE E O BANCO DO BRASIL;AV CAXANGA;3489;ENFRENTE AO PERNAMBUCO DA SORTE E O BANCO DO BRASIL;IPUTINGA;229;CIDADE;COLISÃO COM CICLISTA;COLISÃO COM VITIMA/ VITIMA AGUARDANDO ATENDIMENTO NO LOCAL;;;;1;;1;;;;1;;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;60 km/h;Dupla;Canteiro central;;
2018-12-19;20:27:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;RUA BARAO DE SOUZA LEAO;;;EM FRENTE AO HOTEL IBIS;RUA BARAO DE SOUZA LEAO;;EM FRENTE AO HOTEL IBIS;IMBIRIBEIRA;;CIDADE;ABALROAMENTO LONGITUDINAL;ENTRE AUTOS S/V.;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;Outras;;Única;Não existe;;
2018-12-19;20:35:00;SEM VÍTIMA;FINALIZADA;ZUMBI;AV CAXANGA;1118;;DELICIA DOS PRAZERES;AV CAXANGA;1118;DELICIA DOS PRAZERES;ZUMBI;;SUBURBIO;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VITIMAS;2;;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;;;Dupla;Canteiro central;;
2018-12-19;21:05:00;SEM VÍTIMA;FINALIZADA;GRAÇAS;RUA ESMERALDINO BANDEIRA;;RUA BRUNO MAIA;;RUA ESMERALDINO BANDEIRA;;;GRAÇAS;;CIDADE;ABALROAMENTO LONGITUDINAL;ENTRE AUTOS S/V.;2;;;;;;;;;0;;Cruzamento;Bom;Não existe;;Seca;Mal iluminada;;"Placas ""Dê a preferência""";;Única;Faixa seccionada;;
2018-12-19;21:56:00;SEM VÍTIMA;FINALIZADA;IPUTINGA;RUA MAURICIO DE NASSAU;408;;;RUA MAURICIO DE NASSAU;408;;IPUTINGA;;CIDADE;COLISÃO FRONTAL;COLISÃO SEM VITIMAS;2;;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;40 km/h;Dupla;Faixa seccionada;;
2018-12-19;23:34:00;SEM VÍTIMA;FINALIZADA;CAMPO GRANDE;RUA DR MACHADO;353;RUA VOLUNTARIOS DA PATRIA;;RUA DR MACHADO;353;;CAMPO GRANDE;;;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VITIMAS;2;;;;;;;;;0;;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;"Placas ""Pare""";;Dupla;;;
2018-12-20;00:00:00;SEM VÍTIMA;FINALIZADA;IBURA;RUA RIO TAPADO;;;ALÇA DE SAÍDA BR 101;RUA RIO TAPADO;;ALÇA DE SAÍDA BR 101;IBURA;;;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Única;Não existe;;
2018-12-20;00:48:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;LADO OPOSTO A IGREJA BATISTA;AV MARECHAL MASCARENHAS DE MORAES;;LADO OPOSTO A IGREJA BATISTA;IMBIRIBEIRA;;CIDADE;COLISÃO TRASEIRA;COLISÃO ENTRE AUTO E MOTO S/V;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Incompleta;Seca;Mal iluminada;Não existe;Não há placas;;Única;Faixa seccionada;;
2018-12-20;06:36:00;SEM VÍTIMA;CANCELADA;BARRO;AV CENTRAL;;;ESTAÇÃO DE METRO DO BARRO;AV CENTRAL;;ESTAÇÃO DE METRO DO BARRO;BARRO;;;COLISÃO;SEM VITIMAS;1;;;;;1;;;;0;;;;;;;;;;;;;;
2018-12-20;09:16:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;533;;EM FRENTE A COOPERGAS;AV MARECHAL MASCARENHAS DE MORAES;533;EM FRENTE A COOPERGAS;IMBIRIBEIRA;;CIDADE;COLISÃO TRASEIRA;MOTO E AUTO (BATEDOR ITALO E LUCIANO BARROS NO LOCAL);1;1;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;60 km/h;Dupla;Canteiro central;;
2018-12-20;09:47:00;SEM VÍTIMA;FINALIZADA;AFOGADOS;RUA LUIZ PEREIRA DE FARIAS;82 A;RUA MANOEL RODRIGUES DO PASSO;;RUA LUIZ PEREIRA DE FARIAS;82 A;;AFOGADOS;;CIDADE;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VITIMAS;2;;;;;;;;;0;;Cruzamento;Bom;Não existe;Não existente;Seca;Mal conservada;Não existe;Não há placas;;Dupla;Não existe;;
2018-12-20;10:11:00;SEM VÍTIMA;FINALIZADA;MADALENA;RUA DR SEVERINO PINHEIRO;520;RUA BENFICA;;RUA DR SEVERINO PINHEIRO;520;;MADALENA;590;SUBURBIO;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS;2;;;;;;;;;0;;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;"Placas ""Pare""";;Única;Faixa seccionada;;
2018-12-20;10:47:00;SEM VÍTIMA;CANCELADA;AREIAS;RUA IPOJUCA;428;;EM FRENTE AO ARMAZEM COMPANHIA DO CIMETO;RUA IPOJUCA;428;EM FRENTE AO ARMAZEM COMPANHIA DO CIMETO;AREIAS;;;COLISÃO;COLISÃO SEM VITIMAS;2;;;;;;;;;0;;;;;;;;;;;;;;
2018-12-20;10:53:00;SEM VÍTIMA;FINALIZADA;MADALENA;RUA JOSE OSORIO;;AV VISCONDE DE ALBUQUERQUE;SEMÁFORO 050;RUA JOSE OSORIO;;SEMÁFORO 050;MADALENA;50;;ABALROAMENTO LONGITUDINAL;COLISÃO ENTRE UM AUTO PASSEIO E UM CARRO FORTE DA PRESERVE;1;;;;;;;1;;0;;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Única;;;
2018-12-20;11:01:00;COM VÍTIMA;FINALIZADA;DERBY;PTE ESTACIO COIMBRA;;;SOBRE A PONTE DO DERBY. QUARTEL DO DERBY.;PTE ESTACIO COIMBRA;;SOBRE A PONTE DO DERBY. QUARTEL DO DERBY.;DERBY;;CIDADE;COLISÃO TRASEIRA;DUAS MOTOS;;2;;;;;;;;1;;Ponte;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa contínua;;
2018-12-20;11:22:00;SEM VÍTIMA;FINALIZADA;BOA VISTA;RUA GERVASIO PIRES;165;RUA PALMARES;;RUA GERVASIO PIRES;165;;BOA VISTA;;CIDADE;CHOQUE OBJETO FIXO;VEÍCULO CHOCOU SE COM UM POSTE;1;;;;;;;;;0;;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;30 km/h;Única;Não existe;;
