chave_acesso;serie;numero;natureza_operacao;data;cnpj
4,12201E+43;1;3716;Venda;01/01/2022 10:45;1,33381E+13
4,12201E+43;1;3716;Venda;01/01/2022 10:45;1,33381E+13
5,22201E+43;2;8338;VENDA DE MERC. ADQUIR. OU RECEB. DE TERCEIROS;01/01/2022 10:46;4,0635E+12
4,12201E+43;1;3717;Venda;01/01/2022 10:55;1,33381E+13
4,12201E+43;1;3717;Venda;01/01/2022 10:55;1,33381E+13
4,12201E+43;1;3717;Venda;01/01/2022 10:55;1,33381E+13
4,12201E+43;1;3717;Venda;01/01/2022 10:55;1,33381E+13
4,12201E+43;1;3717;Venda;01/01/2022 10:55;1,33381E+13
5,22201E+43;2;8341;VENDA DE MERC. ADQUIR. OU RECEB. DE TERCEIROS;01/01/2022 10:56;4,0635E+12
5,22201E+43;2;8342;VENDA DE MERC. ADQUIR. OU RECEB. DE TERCEIROS;01/01/2022 11:00;4,0635E+12
5,32201E+43;9;13757;PRESTACAO DE SERVICO;01/01/2022 11:01;3,33723E+13
4,12201E+43;1;3718;Venda;01/01/2022 11:05;1,33381E+13
4,12201E+43;1;3718;Venda;01/01/2022 11:05;1,33381E+13
4,12201E+43;1;3718;Venda;01/01/2022 11:05;1,33381E+13
3,32202E+43;39;2671;VENDA PROD. ESTAB. EFET. FORA ESTABELECIMENTO;01/01/2022 11:09;6,06192E+13
1,32201E+43;1;1201;VENDAS;01/01/2022 11:59;2,66066E+12
1,32201E+43;1;1201;VENDAS;01/01/2022 11:59;2,66066E+12
5,32201E+43;1;170;Prestacao de Servicos;01/01/2022 12:15;3,69382E+13
5,22201E+43;2;8359;VENDA DE MERC. ADQUIR. OU RECEB. DE TERCEIROS;01/01/2022 12:19;4,0635E+12
3,22201E+43;1;80786;OUTRA SAIDA DE MERC. OU PRESTACAO;01/01/2022 12:45;1,47246E+13
2,82201E+43;1;360;Venda Fora do Estado;01/01/2022 13:09;3,79373E+13
4,32201E+43;11;5038;COMPRA LEITE DE PRODUTOR;01/01/2022 13:29;4,35536E+12
3,52201E+43;1;660;Venda Merc.Adq/Rec.Terceiros, Destinada a nao Contribuinte;01/01/2022 13:33;3,53164E+13
3,52201E+43;1;660;Venda Merc.Adq/Rec.Terceiros, Destinada a nao Contribuinte;01/01/2022 13:33;3,53164E+13
3,52201E+43;1;660;Venda Merc.Adq/Rec.Terceiros, Destinada a nao Contribuinte;01/01/2022 13:33;3,53164E+13
3,52201E+43;1;660;Venda Merc.Adq/Rec.Terceiros, Destinada a nao Contribuinte;01/01/2022 13:33;3,53164E+13
3,52201E+43;1;661;Venda Merc.Adq/Rec.Terceiros, Destinada a nao Contribuinte;01/01/2022 13:34;3,53164E+13
3,52201E+43;1;662;Venda Merc.Adq/Rec.Terceiros, Destinada a nao Contribuinte;01/01/2022 13:34;3,53164E+13
3,52201E+43;1;662;Venda Merc.Adq/Rec.Terceiros, Destinada a nao Contribuinte;01/01/2022 13:34;3,53164E+13
3,52201E+43;1;662;Venda Merc.Adq/Rec.Terceiros, Destinada a nao Contribuinte;01/01/2022 13:34;3,53164E+13
3,52201E+43;1;662;Venda Merc.Adq/Rec.Terceiros, Destinada a nao Contribuinte;01/01/2022 13:34;3,53164E+13
3,32201E+43;216;14305;OUTRA SAIDA DE MERC OU PREST DE SERV NAO ESPECIFICADO;01/01/2022 13:46;3,58204E+13
3,32201E+43;215;2617;OUTRAS ENTRADAS DE MERCADORIA OU PRESTACAO DE SERV NAO ESPEC;01/01/2022 13:56;3,58204E+13
5,12201E+43;2;14114;Venda de combustivel ou lubrificante adquirido ou recebido d;01/01/2022 14:04;3,36931E+13
3,32201E+43;216;14306;REMESSA EM LOCACAO;01/01/2022 14:44;3,58204E+13
3,52201E+43;1;368;VENDA;01/01/2022 15:00;3,20052E+13
4,32201E+43;1;32449;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:33;8,65862E+12
4,32201E+43;1;32449;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:33;8,65862E+12
4,32201E+43;1;32450;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:43;8,65862E+12
4,32201E+43;1;32450;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:43;8,65862E+12
4,32201E+43;1;32450;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:43;8,65862E+12
4,32201E+43;1;32451;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:46;8,65862E+12
4,32201E+43;1;32452;Simples Remessa Fora Do Estado;01/01/2022 15:49;8,65862E+12
5,12201E+43;1;23690;VENDA DE MERCADORIA;01/01/2022 15:50;2,4504E+13
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
